Date,LeadSource,DailySpend,Impressions,Clicks,CTR
2024-12-07,YouTube,5500,55500,360,0.65%
2024-12-07,WhatsApp,0,0,0,0.00%
2024-12-07,Referral,0,0,0,0.00%
2024-12-08,Facebook,8500,32500,550,1.69%
2024-12-08,Instagram,6500,25500,440,1.73%
2024-12-08,Google Ads,11500,42500,635,1.49%
2024-12-08,LinkedIn,7500,19500,285,1.46%
2024-12-08,YouTube,5500,57500,380,0.66%
2024-12-08,WhatsApp,0,0,0,0.00%
2024-12-08,Referral,0,0,0,0.00%
2024-12-09,Facebook,8500,31000,525,1.69%
2024-12-09,Instagram,6500,24000,415,1.73%
2024-12-09,Google Ads,11500,41000,615,1.50%
2024-12-09,LinkedIn,7500,18000,265,1.47%
2024-12-09,YouTube,5500,56000,365,0.65%
2024-12-09,WhatsApp,0,0,0,0.00%
2024-12-09,Referral,0,0,0,0.00%
2024-12-10,Facebook,8500,31500,530,1.68%
2024-12-10,Instagram,6500,24500,420,1.71%
2024-12-10,Google Ads,11500,41500,620,1.49%
2024-12-10,LinkedIn,7500,18500,270,1.46%
2024-12-10,YouTube,5500,56500,370,0.65%
2024-12-10,WhatsApp,0,0,0,0.00%
2024-12-10,Referral,0,0,0,0.00%
2024-12-11,Facebook,9000,33000,560,1.70%
2024-12-11,Instagram,7000,26000,450,1.73%
2024-12-11,Google Ads,12000,43000,645,1.50%
2024-12-11,LinkedIn,8000,20000,295,1.48%
2024-12-11,YouTube,6000,58000,390,0.67%
2024-12-11,WhatsApp,0,0,0,0.00%
2024-12-11,Referral,0,0,0,0.00%
2024-12-12,Facebook,9000,31500,535,1.70%
2024-12-12,Instagram,7000,24500,425,1.73%
2024-12-12,Google Ads,12000,41500,625,1.51%
2024-12-12,LinkedIn,8000,18500,275,1.49%
2024-12-12,YouTube,6000,56500,375,0.66%
2024-12-12,WhatsApp,0,0,0,0.00%
2024-12-12,Referral,0,0,0,0.00%
2024-12-13,Facebook,9000,33500,565,1.69%
2024-12-13,Instagram,7000,26500,455,1.72%
2024-12-13,Google Ads,12000,43500,650,1.49%
2024-12-13,LinkedIn,8000,20500,300,1.46%
2024-12-13,YouTube,6000,58500,395,0.68%
2024-12-13,WhatsApp,0,0,0,0.00%
2024-12-13,Referral,0,0,0,0.00%
2024-12-14,Facebook,9000,32000,540,1.69%
2024-12-14,Instagram,7000,25000,430,1.72%
2024-12-14,Google Ads,12000,42000,630,1.50%
2024-12-14,LinkedIn,8000,19000,280,1.47%
2024-12-14,YouTube,6000,57000,380,0.67%
2024-12-14,WhatsApp,0,0,0,0.00%
2024-12-14,Referral,0,0,0,0.00%
2024-12-15,Facebook,9000,32500,545,1.68%
2024-12-15,Instagram,7000,25500,435,1.71%
2024-12-15,Google Ads,12000,42500,635,1.49%
2024-12-15,LinkedIn,8000,19500,285,1.46%
2024-12-15,YouTube,6000,57500,385,0.67%
2024-12-15,WhatsApp,0,0,0,0.00%
2024-12-15,Referral,0,0,0,0.00%
